"SITE_CODE","SITE_NAME","PARAMETER_NAME","PARAMETER_TYPE","ENVIRON_COMPARTMENT","ENVIRON_COMPARTMENT_SUB","MEASURED_CATEGORY","SAMPLING_DATE","SUBSAMPLE","SAMPLE_ID"
"TaraldrudNorway2020_R","Reference site upstream","Copper","Stressor","Aquatic","Freshwater","External","2020-09-01","1","TaraldrudNorway2020_R-Copper-Freshwater-2020-09-01-R 1"
"TaraldrudNorway2020_R","Reference site upstream","Copper","Stressor","Aquatic","Aquatic Sediment","External","2020-09-01","1","TaraldrudNorway2020_R-Copper-AquaticSedim-2020-09-01-R 1"
"TaraldrudNorway2020_R","Reference site upstream","Copper","Stressor","Terrestrial","Soil O Horizon (Organic)","External","2020-09-01","1","TaraldrudNorway2020_R-Copper-SoilOHorizon-2020-09-01-R 1"
"TaraldrudNorway2020_R","Reference site upstream","Copper","Stressor","Terrestrial","Soil E Horizon (Mineral)","External Media","2020-09-01","1","TaraldrudNorway2020_R-Copper-SoilEHorizon-2020-09-01-R 1"
"TaraldrudNorway2020_R","Reference site upstream","Copper","Stressor","Aquatic","Groundwater","External Media","2020-09-01","1","TaraldrudNorway2020_R-Copper-Groundwater-2020-09-01-R 1"
"TaraldrudNorway2020_P","Precipitation pond","Copper","Stressor","Aquatic","Freshwater","External","2020-09-01","1","TaraldrudNorway2020_P-Copper-Freshwater-2020-09-01-R 1"
"TaraldrudNorway2020_P","Precipitation pond","Copper","Stressor","Aquatic","Aquatic Sediment","External","2020-09-01","1","TaraldrudNorway2020_P-Copper-AquaticSedim-2020-09-01-R 1"
"TaraldrudNorway2020_P","Precipitation pond","Copper","Stressor","Terrestrial","Soil O Horizon (Organic)","External","2020-09-01","1","TaraldrudNorway2020_P-Copper-SoilOHorizon-2020-09-01-R 1"
"TaraldrudNorway2020_P","Precipitation pond","Copper","Stressor","Terrestrial","Soil E Horizon (Mineral)","External Media","2020-09-01","1","TaraldrudNorway2020_P-Copper-SoilEHorizon-2020-09-01-R 1"
"TaraldrudNorway2020_P","Precipitation pond","Copper","Stressor","Aquatic","Groundwater","External Media","2020-09-01","1","TaraldrudNorway2020_P-Copper-Groundwater-2020-09-01-R 1"
"TaraldrudNorway2020_MZ","Mixing zone","Copper","Stressor","Aquatic","Freshwater","External","2020-09-01","1","TaraldrudNorway2020_MZ-Copper-Freshwater-2020-09-01-R 1"
"TaraldrudNorway2020_MZ","Mixing zone","Copper","Stressor","Aquatic","Aquatic Sediment","External","2020-09-01","1","TaraldrudNorway2020_MZ-Copper-AquaticSedim-2020-09-01-R 1"
"TaraldrudNorway2020_MZ","Mixing zone","Copper","Stressor","Terrestrial","Soil O Horizon (Organic)","External","2020-09-01","1","TaraldrudNorway2020_MZ-Copper-SoilOHorizon-2020-09-01-R 1"
"TaraldrudNorway2020_MZ","Mixing zone","Copper","Stressor","Terrestrial","Soil E Horizon (Mineral)","External Media","2020-09-01","1","TaraldrudNorway2020_MZ-Copper-SoilEHorizon-2020-09-01-R 1"
"TaraldrudNorway2020_MZ","Mixing zone","Copper","Stressor","Aquatic","Groundwater","External Media","2020-09-01","1","TaraldrudNorway2020_MZ-Copper-Groundwater-2020-09-01-R 1"
"TaraldrudNorway2020_DS","Downstream","Copper","Stressor","Aquatic","Freshwater","External","2020-09-01","1","TaraldrudNorway2020_DS-Copper-Freshwater-2020-09-01-R 1"
"TaraldrudNorway2020_DS","Downstream","Copper","Stressor","Aquatic","Aquatic Sediment","External","2020-09-01","1","TaraldrudNorway2020_DS-Copper-AquaticSedim-2020-09-01-R 1"
"TaraldrudNorway2020_DS","Downstream","Copper","Stressor","Terrestrial","Soil O Horizon (Organic)","External","2020-09-01","1","TaraldrudNorway2020_DS-Copper-SoilOHorizon-2020-09-01-R 1"
"TaraldrudNorway2020_DS","Downstream","Copper","Stressor","Terrestrial","Soil E Horizon (Mineral)","External Media","2020-09-01","1","TaraldrudNorway2020_DS-Copper-SoilEHorizon-2020-09-01-R 1"
"TaraldrudNorway2020_DS","Downstream","Copper","Stressor","Aquatic","Groundwater","External Media","2020-09-01","1","TaraldrudNorway2020_DS-Copper-Groundwater-2020-09-01-R 1"
